OAT	PEA	QUADRAT	SOIL
"160,172,110"	"208,221,175"	"255,255,253"	"175,150,120"
"164,176,114"	"210,223,177"	"255,255,253"	"175,150,120"
"164,176,114"	"209,222,176"	"255,255,253"	"175,150,120"
"165,187,122"	"154,175,110"	"255,255,253"	"178,147,118"
"164,186,121"	"152,173,108"	"255,255,253"	"177,146,117"
"162,184,119"	"153,174,109"	"255,255,253"	"174,143,114"
"186,207,150"	"200,220,171"	"255,255,253"	"71,45,18"
"187,208,151"	"227,247,198"	"255,255,253"	"49,23,0"
"184,208,150"	"224,244,195"	"255,255,253"	"49,25,0"
"162,181,117"	"85,109,73"	"255,255,253"	"173,147,122"
"162,181,117"	"104,128,92"	"255,255,253"	"171,145,120"
"162,181,117"	"114,138,102"	"255,255,253"	"171,145,120"
"158,161,108"	"161,176,111"	"255,255,253"	"146,119,92"
"151,156,100"	"158,173,108"	"255,255,253"	"143,116,89"
"153,158,102"	"150,165,100"	"255,255,253"	"141,114,87"
"185,193,144"	"197,202,161"	"255,255,253"	"150,124,97"
"178,188,138"	"209,214,173"	"255,255,253"	"146,120,93"
"183,193,143"	"206,211,170"	"255,255,253"	"149,123,98"
"164,175,106"	"139,156,112"	"255,255,253"	"158,130,106"
"163,173,104"	"139,156,112"	"255,255,253"	"158,130,106"
"165,175,106"	"144,161,117"	"255,255,253"	"151,125,100"
"199,183,132"	"141,159,107"	"255,255,253"	"159,133,108"
"204,188,136"	"132,150,100"	"255,255,253"	"164,138,113"
"199,183,131"	"125,143,91"	"255,255,253"	"142,122,97"
"175,194,138"	"131,147,110"	"255,255,253"	"145,128,100"
"174,193,137"	"123,139,102"	"255,255,253"	"149,132,104"
"174,191,136"	"118,136,98"	"255,255,253"	"165,134,90"
"174,196,124"	"178,203,161"	"255,255,253"	"163,132,88"
"176,198,126"	"181,206,164"	"255,255,253"	"161,129,88"
"176,198,126"	"175,200,158"	"255,255,253"	"105,76,34"
"166,174,133"	"167,189,125"	"255,255,253"	"109,80,38"
"161,169,130"	"170,192,128"	"255,255,253"	"114,85,43"
"169,177,138"	"169,191,127"	"255,255,253"	"137,105,64"
"159,179,110"	"208,224,175"	"255,255,253"	"100,68,27"
"159,179,110"	"216,232,183"	"255,255,253"	"61,29,0"
"160,180,111"	"228,244,195"	"255,255,253"	"127,100,57"
"172,184,118"	"155,173,123"	"255,255,253"	"127,99,59"
"170,182,116"	"122,140,92"	"255,255,253"	"128,100,60"
"172,184,118"	"125,143,95"	"255,255,253"	"114,85,43"
"155,166,106"	"155,174,128"	"255,255,253"	"108,79,37"
"155,166,106"	"149,168,122"	"255,255,253"	"106,77,35"
"155,166,106"	"135,154,108"	"255,255,253"	"125,92,49"
"156,165,122"	"140,156,109"	"255,255,253"	"125,92,49"
"156,165,122"	"122,138,91"	"255,255,253"	"126,93,50"
"154,163,118"	"133,149,102"	"255,255,253"	"111,84,41"
"142,147,93"	"93,107,56"	"255,255,253"	"113,86,43"
"142,147,93"	"94,108,57"	"255,255,253"	"113,86,43"
"135,143,86"	"96,110,59"	"255,255,253"	"92,74,34"
"171,180,117"	"227,244,189"	"255,255,253"	"94,76,36"
"172,181,118"	"218,235,180"	"236,237,231"	"98,80,40"
"181,190,125"	"213,230,175"	"195,196,190"	"145,138,92"
"144,160,95"	"177,187,137"	"159,160,154"	"140,133,87"
"140,156,91"	"173,183,133"	"130,131,123"	"137,130,84"
"132,148,83"	"175,185,135"	"142,143,135"	"89,64,23"
"175,173,125"	"248,255,205"	"174,175,167"	"80,55,14"
"130,128,80"	"243,253,201"	"255,255,248"	"82,57,16"
"165,163,115"	"199,209,159"	"225,226,220"	"78,69,28"
"190,210,151"	"142,155,111"	"210,211,205"	"69,60,19"
"191,211,152"	"150,163,119"	"165,166,160"	"30,21,0"
"191,211,152"	"179,192,148"	"135,136,128"	"155,137,89"
"166,186,127"	"190,205,162"	"142,143,135"	"151,133,85"
"166,186,127"	"196,211,168"	"176,177,169"	"158,140,92"
"166,186,127"	"193,208,165"	"255,255,248"	"21,0,0"
"167,179,117"	"227,245,195"	"252,253,247"	"23,0,0"
"169,181,119"	"230,248,198"	"250,251,245"	"21,0,0"
"168,180,118"	"219,237,187"	"208,209,203"	"41,15,0"
"178,186,137"	"147,169,130"	"160,161,153"	"40,14,0"
"177,185,136"	"146,168,130"	"147,148,140"	"44,18,0"
"184,192,143"	"147,169,131"	"178,179,171"	"177,143,105"
"171,194,142"	"151,173,135"	"255,255,248"	"169,135,97"
"173,196,144"	"143,165,127"	"255,255,250"	"160,126,88"
"173,196,144"	"130,152,114"	"255,255,250"	"179,164,125"
"173,183,133"	"242,255,226"	"255,255,250"	"179,164,125"
"171,181,131"	"244,255,228"	"240,241,233"	"180,165,126"
"174,182,133"	"244,255,228"	"185,186,178"	"85,69,36"
"149,161,95"	"153,178,138"	"183,184,176"	"81,65,32"
"156,168,102"	"146,171,131"	"255,255,248"	"91,75,42"
"157,169,103"	"147,172,132"	"254,255,249"	"127,99,60"
"173,185,139"	"200,221,180"	"254,255,249"	"129,101,62"
"170,182,136"	"146,169,127"	"254,255,249"	"137,109,70"
"168,180,134"	"114,136,97"	"208,209,201"	"87,61,28"
"186,194,145"	"138,169,112"	"171,172,164"	"66,40,7"
"191,201,151"	"137,168,111"	"174,175,167"	"82,56,23"
"191,201,151"	"138,169,112"	"253,254,246"	"37,11,0"
"160,176,103"	"215,231,184"	"252,253,247"	"65,39,6"
"157,173,100"	"120,136,89"	"244,245,239"	"64,38,5"
"157,173,102"	"95,111,62"	"202,203,197"	"94,74,37"
"176,186,117"	"153,179,134"	"146,147,139"	"90,70,33"
"183,193,124"	"156,179,135"	"140,141,133"	"148,128,91"
"182,191,124"	"161,184,140"	"167,168,160"	"35,19,0"
"197,183,146"	"196,209,163"	"254,255,247"	"28,12,0"
"181,169,131"	"193,206,160"	"220,221,215"	"26,10,0"
"166,154,116"	"189,202,156"	"230,231,225"	"135,127,90"
"196,183,141"	"247,255,218"	"165,166,160"	"135,127,90"
"196,183,141"	"247,255,218"	"137,138,130"	"133,125,88"
"194,181,139"	"198,221,169"	"123,124,116"	"139,120,80"
"180,187,133"	"158,182,134"	"153,154,146"	"138,119,79"
"184,191,137"	"207,231,181"	"255,255,248"	"144,124,87"
"176,183,129"	"232,255,206"	"247,250,239"	"127,100,57"
"193,223,137"	"196,205,162"	"246,249,240"	"142,115,72"
"195,223,138"	"205,214,171"	"248,251,242"	"191,164,121"
"196,224,139"	"231,242,199"	"249,252,245"	"175,150,120"
"86,115,23"	"161,179,137"	"250,253,246"	"174,149,119"
"87,116,24"	"168,186,144"	"252,255,248"	"173,148,118"
"88,117,25"	"178,196,154"	"253,255,249"	"180,149,120"
"81,105,17"	"151,157,109"	"247,250,239"	"179,148,119"
"82,106,18"	"157,159,112"	"247,250,241"	"176,145,116"
"82,105,17"	"164,163,119"	"250,253,244"	"88,62,35"
"98,129,59"	"240,240,188"	"251,254,247"	"69,43,16"
"102,133,63"	"232,232,180"	"250,253,246"	"65,41,13"
"108,139,69"	"231,231,179"	"251,254,247"	"172,146,121"
"104,135,59"	"202,220,178"	"252,255,248"	"171,145,120"
"101,132,56"	"222,240,198"	"244,247,236"	"171,145,120"
"100,131,55"	"230,248,206"	"247,250,241"	"146,119,92"
"60,89,5"	"186,214,173"	"249,252,243"	"144,117,90"
"58,87,3"	"179,207,166"	"251,254,245"	"142,115,88"
"59,88,4"	"147,175,134"	"252,255,246"	"149,123,96"
"126,152,78"	"189,211,162"	"253,255,247"	"143,117,90"
"129,155,81"	"188,210,161"	"253,255,247"	"147,121,96"
"139,165,91"	"186,208,159"	"245,248,237"	"160,132,108"
"157,195,108"	"136,165,109"	"248,251,242"	"162,134,110"
"157,195,108"	"134,163,107"	"249,252,243"	"156,130,105"
"156,194,107"	"137,166,110"	"251,254,245"	"161,135,110"
"162,192,102"	"177,197,112"	"252,255,246"	"164,138,113"
"162,192,102"	"176,196,111"	"253,255,247"	"142,122,97"
"160,190,102"	"176,196,111"	"253,255,247"	"143,126,98"
"97,138,62"	"146,170,46"	"246,249,238"	"146,129,101"
"98,138,65"	"149,173,49"	"248,251,242"	"167,136,92"
"100,138,63"	"153,177,53"	"250,253,244"	"162,131,87"
"163,185,102"	"185,208,117"	"251,254,245"	"160,127,84"
"164,186,103"	"184,207,116"	"252,255,246"	"102,73,31"
"165,187,104"	"185,208,117"	"253,255,247"	"107,78,36"
"109,131,46"	"132,160,60"	"253,255,247"	"113,84,40"
"112,132,47"	"132,160,58"	"247,250,239"	"127,95,54"
"105,125,40"	"133,161,58"	"249,252,243"	"91,59,18"
"104,126,43"	"141,171,71"	"250,253,244"	"55,23,0"
"100,122,37"	"142,172,72"	"251,254,245"	"127,100,57"
"100,122,37"	"142,172,72"	"253,255,247"	"127,99,59"
"118,147,83"	"222,236,148"	"253,255,247"	"127,99,59"
"116,145,81"	"223,237,149"	"254,255,248"	"108,79,37"
"118,147,83"	"225,239,151"	"248,251,240"	"104,75,33"
"152,169,63"	"131,154,74"	"250,253,244"	"103,74,32"
"152,169,63"	"126,149,69"	"250,253,244"	"128,95,52"
"150,169,62"	"114,137,57"	"251,254,245"	"125,92,49"
"82,104,31"	"113,145,72"	"253,255,247"	"122,89,46"
"109,131,58"	"115,147,74"	"254,255,248"	"110,83,40"
